2018-02-28 14:46:07,837 [main] WARN  service.ForwardService - forwardCrawl error:error
2018-02-28 14:46:37,313 [main] WARN  service.ForwardService - forwardCrawl error:error
2018-03-22 11:14:13,870 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-03-22 11:14:13,874 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\project\newscertify\source\newsverify.com\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-03-22 11:14:13,875 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\project\newscertify\source\newsverify.com\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-03-22 11:17:37,660 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-03-22 11:17:37,664 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\project\newscertify\source\newsverify.com\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-03-22 11:17:37,664 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\project\newscertify\source\newsverify.com\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-03-22 11:32:17,893 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-03-22 11:32:17,898 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\project\newscertify\source\newsverify.com\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-03-22 11:32:17,898 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\project\newscertify\source\newsverify.com\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-12 16:10:18,111 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-12 16:10:18,151 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-12 16:10:18,154 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-12 16:12:29,394 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-12 16:12:29,408 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-12 16:12:29,409 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-12 16:14:11,022 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-12 16:14:11,036 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-12 16:14:11,037 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-12 16:14:28,865 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-12 16:14:28,879 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-12 16:14:28,879 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-12 16:14:43,882 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-12 16:14:43,895 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-12 16:14:43,896 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 11:21:19,872 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 11:21:19,887 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 11:21:19,888 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 13:37:47,936 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 13:37:47,940 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 13:37:47,941 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:28:48,341 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:28:48,344 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:28:48,345 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:31:29,323 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:31:29,327 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:31:29,327 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:33:43,201 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
